id,name,category,icon_url,created_at,updated_at
1,Laravel,web-dev,NULL,2025-11-28 01:28:05+00,2025-11-28 01:28:05+00
2,Next.js,web-dev,NULL,2025-11-28 01:28:14+00,2025-11-28 01:28:14+00
3,React,web-dev,NULL,2025-11-28 01:28:19+00,2025-11-28 01:28:19+00
4,PHP,web-dev,NULL,2025-11-28 01:28:25+00,2025-11-28 01:28:25+00
5,TypeScript,web-dev,NULL,2025-11-28 01:28:30+00,2025-11-28 01:28:30+00
6,JavaScript,web-dev,NULL,2025-11-28 01:28:35+00,2025-11-28 01:28:35+00
7,Tailwind CSS,web-dev,NULL,2025-11-28 01:28:43+00,2025-11-28 01:28:43+00
8,Filament,web-dev,NULL,2025-11-28 01:28:49+00,2025-11-28 14:53:17+00
9,Livewire,web-dev,NULL,2025-11-28 01:28:54+00,2025-11-28 01:28:54+00
10,MySQL,web-dev,NULL,2025-11-28 01:29:02+00,2025-11-28 01:29:02+00
11,PostgreSQL,web-dev,NULL,2025-11-28 01:29:09+00,2025-11-28 01:29:09+00
12,Node.js,web-dev,NULL,2025-11-28 01:29:15+00,2025-11-28 01:29:15+00
13,Python,data-science,NULL,2025-11-28 01:29:21+00,2025-11-28 01:29:21+00
14,Pandas,data-science,NULL,2025-11-28 01:29:26+00,2025-11-28 01:29:26+00
15,NumPy,data-science,NULL,2025-11-28 01:29:32+00,2025-11-28 01:29:32+00
16,Matplotlib,data-science,NULL,2025-11-28 01:29:42+00,2025-11-28 01:29:42+00
17,Jupyter,data-science,NULL,2025-11-28 01:29:47+00,2025-11-28 01:29:47+00
18,SQL,data-science,NULL,2025-11-28 01:29:52+00,2025-11-28 01:29:52+00
19,TensorFlow,machine-learning,NULL,2025-11-28 01:30:03+00,2025-11-28 01:30:03+00
20,PyTorch,machine-learning,NULL,2025-11-28 01:30:09+00,2025-11-28 01:30:09+00
21,Scikit learn,machine-learning,NULL,2025-11-28 01:30:22+00,2025-11-28 01:30:22+00
22,Keras,machine-learning,NULL,2025-11-28 01:30:28+00,2025-11-28 01:30:28+00
23,OpenCV,machine-learning,NULL,2025-11-28 01:30:33+00,2025-11-28 01:30:33+00
24,YOLO,machine-learning,NULL,2025-11-28 01:30:37+00,2025-11-28 01:30:37+00
25,Git,tools,NULL,2025-11-28 01:30:44+00,2025-11-28 01:30:44+00
26,GitHub,tools,NULL,2025-11-28 01:30:48+00,2025-11-28 01:30:48+00
27,Docker,tools,NULL,2025-11-28 01:30:52+00,2025-11-28 01:30:52+00
28,Postman,tools,NULL,2025-11-28 01:30:57+00,2025-11-28 01:30:57+00
29,Linux,tools,NULL,2025-11-28 01:31:01+00,2025-11-28 01:31:01+00
30,VS Code,tools,NULL,2025-11-28 01:31:08+00,2025-11-28 01:31:08+00
31,Composer,tools,NULL,2025-11-28 01:31:12+00,2025-11-28 01:31:12+00
32,NPM,tools,NULL,2025-11-28 01:31:18+00,2025-11-28 01:31:18+00
